run,seconds
0,0.018427
0,0.020011
0,0.019814
0,0.019117
0,0.015588
0,0.021488
0,0.023315
0,0.030833
0,0.026640
0,0.022131
0,0.017768
0,0.016628
0,0.017805
0,0.015950
0,0.016861
0,0.019125
0,0.022009
0,0.024621
0,0.024072
0,0.022162
0,0.023043
0,0.015617
0,0.018803
0,0.019215
0,0.018942
0,0.020998
0,0.021689
0,0.019770
0,0.018700
0,0.019881
0,0.021464
0,0.017889
0,0.021131
0,0.018193
0,0.018564
0,0.020302
0,0.016465
0,0.018287
0,0.019693
0,0.025673
0,0.024997
0,0.021550
0,0.020127
0,0.016680
0,0.018972
0,0.020339
0,0.022624
0,0.021119
0,0.017392
0,0.021154
0,0.026573
0,0.023166
0,0.019994
0,0.016822
0,0.017383
0,0.019441
0,0.016949
0,0.017053
0,0.017563
0,0.016844
0,0.022057
0,0.016948
0,0.016896
0,0.019736
0,0.016954
0,0.019387
0,0.019557
0,0.017374
0,0.035740
0,0.029247
0,0.037997
0,0.025132
0,0.021879
0,0.021710
0,0.034931
0,0.022073
0,0.029529
0,0.035809
0,0.029518
0,0.024304
0,0.024437
0,0.022585
0,0.024907
0,0.027274
0,0.025807
0,0.022508
0,0.024181
0,0.023060
0,0.022424
0,0.022584
0,0.022112
0,0.033093
0,0.025205
0,0.022789
0,0.022113
0,0.042793
0,0.034017
0,0.033452
0,0.037850
0,0.027019
0,0.027110
0,0.023620
0,0.035318
0,0.031568
0,0.024032
0,0.027372
0,0.023894
0,0.032722
0,0.029720
0,0.028884
0,0.020910
0,0.023361
0,0.044093
0,0.023007
0,0.021526
0,0.024042
0,0.055048
0,0.029137
0,0.030225
0,0.026281
0,0.024309
0,0.029915
0,0.029286
0,0.027591
0,0.032154
0,0.030213
0,0.030446
0,0.027204
0,0.023031
0,0.028221
0,0.025666
0,0.045246
0,0.030309
0,0.034570
0,0.030537
0,0.025116
0,0.027359
0,0.028347
0,0.046289
0,0.027752
0,0.028702
0,0.028832
0,0.035028
0,0.032020
0,0.029595
0,0.029246
0,0.037928
0,0.030517
0,0.024333
0,0.030344
0,0.033225
0,0.040280
0,0.026340
0,0.043065
0,0.030373
0,0.030912
0,0.021489
0,0.034149
0,0.035333
0,0.032215
0,0.032530
0,0.031199
0,0.028860
0,0.041204
0,0.032473
0,0.025830
0,0.047385
0,0.029152
0,0.027591
0,0.025573
0,0.030275
0,0.030035
0,0.028492
0,0.037391
0,0.030684
0,0.033906
0,0.042079
0,0.033994
0,0.031348
0,0.030247
0,0.028534
0,0.024707
0,0.035163
0,0.037612
0,0.035647
0,0.027579
0,0.029952
0,0.028693
0,0.031412
0,0.035585
0,0.030739
0,0.030370
0,0.040638
0,0.030023
0,0.026273
0,0.031685
0,0.025902
0,0.031128
0,0.029656
0,0.029231
0,0.026686
0,0.028050
0,0.040284
0,0.021089
0,0.026618
0,0.023302
0,0.030658
0,0.024625
0,0.024508
0,0.026739
0,0.030269
0,0.032816
0,0.029390
0,0.025878
0,0.027988
0,0.027768
0,0.031199
0,0.023437
0,0.028248
0,0.025237
0,0.021266
0,0.031837
0,0.033959
0,0.025983
0,0.025067
0,0.022635
0,0.025558
0,0.023612
0,0.023990
0,0.022523
0,0.024653
0,0.025553
0,0.032650
0,0.019430
0,0.026190
0,0.019929
0,0.028384
0,0.030073
0,0.023181
0,0.026391
0,0.028146
0,0.021539
0,0.021135
0,0.019348
0,0.017159
0,0.019077
0,0.020887
0,0.016087
0,0.020621
0,0.036409
0,0.027602
0,0.020775
0,0.019083
0,0.019610
0,0.020245
0,0.017447
0,0.017236
0,0.019847
0,0.027120
0,0.023087
0,0.021824
0,0.020976
0,0.021194
0,0.017537
0,0.019866
0,0.018410
0,0.017556
0,0.017630
0,0.027504
0,0.024349
0,0.021405
0,0.020424
0,0.018431
0,0.018802
0,0.019358
0,0.021493
0,0.022906
0,0.025125
0,0.021778
0,0.018361
0,0.016674
0,0.016870
0,0.018354
0,0.020571
0,0.020449
0,0.017882
0,0.018156
0,0.031232
0,0.028245
0,0.022022
0,0.018025
0,0.017538
0,0.018977
0,0.019683
0,0.019551
0,0.020211
0,0.017960
0,0.018285
0,0.020185
0,0.017616
0,0.020951
0,0.015970
0,0.017205
0,0.019701
0,0.018682
0,0.018540
0,0.016825
0,0.017254
0,0.027159
0,0.024145
0,0.024728
0,0.017068
0,0.017521
0,0.023786
0,0.017890
0,0.019074
0,0.019228
0,0.019268
0,0.021380
0,0.019883
0,0.018185
0,0.018466
0,0.019513
0,0.019579
0,0.024997
0,0.024214
0,0.021166
0,0.028800
0,0.025338
0,0.017346
0,0.017846
0,0.015754
0,0.019381
0,0.024875
0,0.025948
0,0.024128
0,0.017622
0,0.021904
0,0.017035
0,0.018058
0,0.018703
0,0.017067
0,0.018802
0,0.020577
0,0.021676
0,0.020419
0,0.018149
0,0.027197
0,0.024066
0,0.019886
0,0.018277
0,0.016852
0,0.018400
0,0.020652
0,0.018094
0,0.020891
0,0.017960
0,0.028239
0,0.021986
0,0.021083
0,0.020079
0,0.017054
0,0.022436
0,0.017282
0,0.016128
0,0.017921
0,0.017537
0,0.026702
0,0.023388
0,0.029395
0,0.025005
0,0.020912
0,0.017784
0,0.016794
0,0.018347
0,0.019762
0,0.018963
0,0.018367
0,0.016686
0,0.017128
0,0.022899
0,0.017447
0,0.019040
0,0.019145
0,0.023818
0,0.019160
0,0.019297
0,0.028410
0,0.020283
0,0.018518
0,0.020308
0,0.025001
0,0.025582
0,0.020152
0,0.017165
0,0.019851
0,0.021756
0,0.015609
0,0.019374
0,0.017654
0,0.018321
0,0.020370
0,0.025667
0,0.024622
0,0.020903
0,0.019973
0,0.027873
0,0.020540
0,0.016473
0,0.016795
0,0.021122
0,0.020215
0,0.019384
0,0.018691
0,0.023214
0,0.023764
0,0.019029
0,0.020978
0,0.023700
0,0.024329
0,0.023794
0,0.020504
0,0.018175
0,0.017479
0,0.019657
0,0.026671
0,0.017754
0,0.018955
0,0.023808
0,0.026281
0,0.022978
0,0.018350
0,0.019157
0,0.016062
0,0.021798
0,0.020415
0,0.016103
